timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764253469924,3716,Home,200,,Thread Group 1 1-1,text,true,,5664,148,5,5,https://petstore.octoperf.com/actions/Catalog.action,3715,0,3415
1764253470590,3049,Home,200,,Thread Group 1 1-2,text,true,,5664,148,5,5,https://petstore.octoperf.com/actions/Catalog.action,3032,0,2717
1764253471599,2065,Home,200,,Thread Group 1 1-3,text,true,,5664,148,5,5,https://petstore.octoperf.com/actions/Catalog.action,2064,0,1753
1764253472641,1161,Home,200,,Thread Group 1 1-4,text,true,,5664,148,5,5,https://petstore.octoperf.com/actions/Catalog.action,1159,0,890
1764253473647,268,Fish Page,200,,Thread Group 1 1-2,text,true,,4619,178,5,5,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,267,0,0
1764253473653,297,Fish Page,200,,Thread Group 1 1-1,text,true,,4619,178,5,5,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,296,0,0
1764253473665,312,Fish Page,200,,Thread Group 1 1-3,text,true,,4619,178,5,5,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,311,0,0
1764253473803,264,Fish Page,200,,Thread Group 1 1-4,text,true,,4619,178,5,5,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,264,0,0
1764253473916,279,Dog page,200,,Thread Group 1 1-2,text,true,,4991,178,5,5,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,278,0,0
1764253473951,298,Dog page,200,,Thread Group 1 1-1,text,true,,4991,178,5,5,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,296,0,0
1764253473978,313,Dog page,200,,Thread Group 1 1-3,text,true,,4991,178,5,5,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,312,0,0
1764253474068,277,Dog page,200,,Thread Group 1 1-4,text,true,,4991,178,5,5,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,276,0,0
1764253474196,285,Reptiles Page,200,,Thread Group 1 1-2,text,true,,4271,182,5,5,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=REPTILES,284,0,0
